Date,Heure,Fichier,Statut,Action
2025-05-31,23:02:25,/etc/passwd,OK,Checksum inchangé
2025-05-31,23:02:25,/etc/shadow,OK,Checksum inchangé
2025-05-31,23:02:25,/home/anass/AutoSecGuard/var/log/history.log,INIT,Checksum créé
2025-05-31,23:32:43,/etc/passwd,OK,Checksum inchangé
2025-05-31,23:32:43,/etc/shadow,OK,Checksum inchangé
2025-05-31,23:32:43,/home/anass/AutoSecGuard/var/log/history.log,MODIFIÉ,Sauvegarde créée: history.log.20250531233243.bak
2025-05-31,23:57:09,/etc/passwd,OK,Checksum inchangé
2025-05-31,23:57:09,/etc/shadow,OK,Checksum inchangé
2025-05-31,23:57:09,/home/anass/AutoSecGuard/var/log/history.log,MODIFIÉ,Sauvegarde créée: history.log.20250531235709.bak
2025-05-31,23:59:58,/etc/passwd,OK,Checksum inchangé
2025-05-31,23:59:58,/etc/shadow,OK,Checksum inchangé
2025-05-31,23:59:58,/home/anass/AutoSecGuard/var/log/history.log,MODIFIÉ,Sauvegarde créée: history.log.20250531235958.bak
2025-06-01,00:48:31,/etc/passwd,OK,Checksum inchangé
2025-06-01,00:48:31,/etc/shadow,OK,Checksum inchangé
2025-06-01,00:48:31,/home/anass/AutoSecGuard/var/log/history.log,MODIFIÉ,Sauvegarde créée: history.log.20250601004831.bak
2025-06-01,02:44:21,/etc/passwd,OK,Checksum inchangé
2025-06-01,02:44:21,/etc/shadow,OK,Checksum inchangé
2025-06-01,02:44:21,/home/anass/AutoSecGuard/var/log/history.log,MODIFIÉ,Sauvegarde créée: history.log.20250601024421.bak
